Category,Funding Classification,Funder,Scheme,Academic CI and PCI costs,Personnel Costs,Other costs allowable,Ineligible costs,Monash Contribution (cash or in kind),Indirect Costs Allowable?,Indirect Cost Rate (if specified),Max indirect cost applied in application,last checked,,,,,,,,,,,,,,,,
Category 3,International government (other),Economic and Social Research Council,All research grant schemes (through JeS),"Allowable (as part of direct costs).
Salaries of Principal Investigator and Co‑Investigators (including UK‑based business, civil society, and international Co‑Is) are allowable at 100% fEC, but ESRC funds 80% of these costs.","Allowable for research staff (postdocs, research assistants, technicians).
• Directly Incurred staff (actual, verifiable time) – e.g., researchers, technicians.
• Directly Allocated staff (estimated time) – e.g., investigators, support staff.
• Visiting researchers (up to 12 months per individual) – costs can be claimed.
• Apprentice Levy costs are also allowable.
• Associated studentships are not allowed under this call.","Travel and Subsistence
Hire of vehicles, recruitment and advertising costs.
Consultancy Fees
Computer equipment
Equipment

Refer to the Guidelines for full list and further description of costs allowed: https://www.ukri.org/wp-content/uploads/2023/03/ESRC-170323-Funding-Opp-ResearchGrants-JeSGuidance.pdf","Costs associated to Students must not be charged to the Grant

https://www.ukri.org/wp-content/uploads/2023/03/ESRC-170323-Funding-Opp-ResearchGrants-JeSGuidance.pdf",," Indirect costs (estates and indirect costs) are included in the fEC model and are funded at 80% by ESRC. The rate is determined by the Research Organisation’s TRAC methodology and does not require justification in the proposal.

https://www.ukri.org/wp-content/uploads/2023/03/ESRC-170323-Funding-Opp-ResearchGrants-JeSGuidance.pdf",Varies by institution – calculated using the TRAC (Transparent Approach to Costing) methodology. No fixed percentage is set by ESRC.,0%,24-Mar,,,,,,,,,,,,,,,,
Category 3,International philanthropy,Fritz Thyssen Foundation,Research Projects,"• Humanities/Social Sciences: applicants may apply for their own post (as sole applicant) if they are a junior scholar with a doctoral degree; in this case, no additional research assistant funds may be requested.
• Medicine: the applicant must have a PhD, be at an early career stage (2–4 years post‑doc), and already head or intend to establish an independent research group.
• Complete personnel costs for research staff with doctoral degrees can be applied for (TVL‑E13 in Germany).","In the case of research staff who do not have doctoral degrees, their pay is generally based on 65% of a TVL-E13-positions.

Non-academic personnel are paid at the appropriate TVL level.

Student helpers or research assistants allowed

https://www.fritz-thyssen-stiftung.de/en/funding/types-of-support/support-of-projects/","• Travel costs directly connected to the project (economy class travel, reasonable accommodation; meals up to €28/day within Germany; for travel abroad, applicable daily/monthly rates).
• One‑off costs (special literature, licenses, small equipment).
• Annual running costs (supplies).
• Costs for experimental animals and animal facilities (medicine).
• Other costs (contracts with outside providers, works agreements, core facility use).

Refer to guidelines for further description: https://www.fritz-thyssen-stiftung.de/en/funding/types-of-support/support-of-projects/","Staff resources for applicants who already have a post (substituting for chairs or similar)
Financial resources for construction work
Financial resources to procure office furnishings and equipment that are usually part of the basic furnishings at universities and institutes
Generally no financial resources are granted to defray overhead costs",,Unallowable,,0%,24-Mar,,,,,,,,,,,,,,,,
Category 3,International not-for profit organisations,Abdul Latif Jameel Poverty Action Lab,ATAI call for proposal,ATAI Initiative does not cover PI salaries.," 
 	
Personnel (salary, benefits, allowances )","J-PAL Initiative Full Grants Budget Template_July2022.xlsx

Travel costs, materials and consumables, field costs. Refer to link to budget template link.","Unallowable costs include those labeled as “incidental,” “miscellaneous,” or “contingency.”

Project Implementation Costs: For full research projects, implementation costs are expected to
be borne by the project partners.

https://drive.google.com/file/d/1u3i7e9bWwVmM7K83XkzJViuW_1mV9khR/view",,"Universities in high-income countries (generally defined as the US, Canada, Western Europe,
Japan, Korea, Singapore, Australia and New Zealand, Israel, and wealthy Middle Eastern
countries) can charge up to 10% in indirect costs, applied to total direct costs.

https://drive.google.com/file/d/1u3i7e9bWwVmM7K83XkzJViuW_1mV9khR/view?usp=share_link",,10%,24-Mar,,,,,,,,,,,,,,,,
Category 3,International government (other),"UKRI - United Kingdom Research and Innovation
",UKRI Research Grants,Same funding principlpes as Economic and Social Research Council,Same funding principlpes as Economic and Social Research Council,Same funding principlpes as Economic and Social Research Council,Same funding principlpes as Economic and Social Research Council,,Same funding principlpes as Economic and Social Research Council,,0%,24-Mar,,,,,,,,,,,,,,,,
Category 3,International government (own purpose),"UKRI - United Kingdom Research and Innovation
",UKRI PHIND,a contribution to the salary of the principal investigator and co-investigators allowed,support for other posts such as research and technical,"research consumables
equipment
travel costs
data preservation, data sharing and dissemination costs
estates and indirect costs

A limited amount (approximately 15%) of the overall cost may be allocated to some acceptability and feasibility research

https://www.ukri.org/opportunity/public-health-intervention-development/","research involving randomised trials or clinical interventions
costs for PhD studentships
publication costs
funding to use as a ‘bridge’ between grants
time spent developing applications for further funding",,"Yes – as part of the fEC model.
Estates and indirect costs are allowable and included in the full economic cost. UKRI funds 80% of these costs for UK organisations.","	Varies by institution – determined by the host organisation’s approved fEC rates (indirect costs are not a separate percentage but part of the overall fEC).",23%,24-Mar,not 0%?,,,,,,,,,,,,,,,
Category 3,International not-for profit organisations,Prostate Cancer UK,Career Acceleration Fellowships, The salary of the Fellow ,Additional laboratory personnel support if required (e.g. laboratory technician time) ,"• Research consumables (that are direct costs of the project) 
• Collaboration costs (including associated travel) 
• Conference costs ","Clinical researchers are no longer supported

list : https://prostatecanceruk.org/media/c0yjjahf/2026-career-acceleration-fellowships-guidance-final.pdf",,"	No. There is no provision for estates or indirect costs in the budget guidelines. The host institution is expected to cover overheads and facilities.",,No applications with costing in Pure,24-Mar,,,,,,,,,,,,,,,,
Category 3,State/Territory/Local (own purpose),iCare NSW (Insurance and Care NSW) (New South Wales),iCare - Dust Diseases Board Grant,"The candidate (Chief Investigator) is the award recipient.
• PhD Scholarships: stipend/salary for the candidate (up to $40,000 p.a.).
• Post‑Doctoral and Prevention Fellowships: salary for the candidate (up to $80,000 or $122,000 p.a.).
• Clinical Fellowships: salary for the candidate (up to $80,000 p.a.)","	Allowable for the candidate’s salary/stipend.
Additional research staff (research assistants, technicians) may be funded from the project budget, where justified, as part of direct research costs.","Allowable direct costs (included within the total funding) include:
• Research consumables, equipment, and materials
• Travel essential to the project (justified)
• Costs for data collection, analysis, and dissemination
• Risk management, dissemination plans, and other project‑specific costs

https://www.icare.nsw.gov.au/injured-or-ill-people/work-related-dust-disease/dust-diseases-board-research-grants#application-section",Funds will not be provided to cover any overhead costs levied by the Administering Institution or organisation,,"Funds will not be provided to cover any overhead
costs levied by the Administering Institution or
organisation",,No applications with costing in Pure,24-Mar,,,,,,,,,,,,,,,,
Category 2,State/Territory/Local (other),Department of Health (DH) (Victoria),Victorian Medical Research Acceleration Fund (VMRAF) - This is specific to Round 8 and may differ slightly for subsequent rounds,"	Allowable as part of the project budget. The grant supports salaries of research personnel directly contributing to the project, including the Chief Investigator (CI) where justified.","	Allowable for salaries of research staff directly contributing to the project.","Allowable direct research costs including consumables, equipment, travel, and other project‑related expenses.",Not specified in the guidelines. Standard government grant exclusions would typically apply.,"Mandatory cash co‑contribution – a 1:1 cash match is required. Preference is given to projects where this cash contribution comes from a Collaborating Partner rather than the lead institution.

https://sites.research.unimelb.edu.au/research-funding/domestic/djpr-victorian-medical-research-acceleration-fund-vmraf-and-mrna-vmraf",No – a mandatory 1:1 cash co‑contribution is required instead of a traditional indirect cost rate.,,0%,13-Apr,,,,,,,,,,,,,,,,
Category 3,Australian not-for profit organisations,Garnett Passe and Rodney Williams Memorial Foundation,Clinical Research Grant,"purpose of the award is to go towards the employment of a part-time research assistant, research
nurse or graduate student. refer to column F

https://gprwmf.org.au/wp-content/uploads/Instructions-for-Applicants_v8.pdf","At least 80% of the Funding must be used towards the employment of a research assistant,
research nurse or graduate student. Personnel salaries including on-costs such as annual leave and long service leave entitlements;","consumables and equipment;
patient-related costs;
project related travel costs; and
other justifiable project-related expenses (as determined by the Board);
Refer to guidelines:
https://gprwmf.org.au/wp-content/uploads/Instructions-for-Applicants_v8.pdf

Refer to link for budget Template
https://gprwmf.org.au/wp-content/uploads/GPRWMF-Budget-Template-v4.xlsx","Funding may not be used towards conference attendance, publication costs or intellectual property-related costs.

Funding may not be used to fund institutional overheads, administrative charges and other indirect costs of research.

https://gprwmf.org.au/awards/clinical-research-grant/",,Unallowable- Refer to column H,,0%,10-Apr,,,,,,,,,,,,,,,,
Category 3,Australian not-for profit organisations,Garnett Passe and Rodney Williams Memorial Foundation,Conjoint Grant,"Allowable as personnel costs.
Funding may be used for personnel salaries including on‑costs (annual leave, long service leave).
The two Chief Investigators (CIA and CIB) – one clinical practitioner, one scientific researcher – may have their salaries supported if justified as project‑related personnel.","personnel salaries including on-costs such as annual leave and long service leave
entitlements;","consumables and equipment;
patient-related costs;
project related travel costs; and
other justifiable project-related expenses (as determined by the Board);
Refer to guidelines:
https://gprwmf.org.au/wp-content/uploads/Instructions-for-Applicants_v8.pdf
","Funding may not be used to fund institutional overheads, administrative charges, and other indirect costs of research",,Unallowable - Refer to column H,,0%,10-Apr,,,,,,,,,,,,,,,,
Category 3,Australian not-for profit organisations,"Multiple Sclerosis Research Australia (trading as National Multiple Sclerosis Research Foundation Limited)
",Project Grant,Allowable. The grant may be used for salaries of Chief Investigators and other personnel essential to the project. (Section 5.1.1),"Allowable for salaries, project costs, and consumables essential to the project within Australia. (Section 5.1.1)

https://www.msaustralia.org.au/annual-funding-opportunities/types-of-grants/",Section F,"The institution remains responsible for normal overhead expenses including maintenance costs on
equipment purchased with MS Australia funds and institutional maintenance charges.

https://www.msaustralia.org.au/wp-content/uploads/eligibility-criteria_msaustralia_v5_feb_2026.pdf",,"The institution remains responsible for normal overhead expenses including maintenance costs on
equipment purchased with MS Australia funds and institutional maintenance charges.

https://www.msaustralia.org.au/wp-content/uploads/eligibility-criteria_msaustralia_v5_feb_2026.pdf",,No applications with costing in Pure,10-Apr,,,,,,,,,,,,,,,,
Category 3,Australian not-for profit organisations,"Multiple Sclerosis Research Australia (trading as National Multiple Sclerosis Research Foundation Limited)
",pHD Fellowship,"	Allowable – the grant provides salary support for the Chief Investigator (early career researcher).","	Allowable for the Chief Investigator’s salary. No other personnel costs are specified.",Not specified in guidelines,"The institution remains responsible for normal overhead expenses including maintenance costs on
equipment purchased with MS Australia funds and institutional maintenance charges.

https://www.msaustralia.org.au/wp-content/uploads/eligibility-criteria_msaustralia_v5_feb_2026.pdf",,"The institution remains responsible for normal overhead expenses including maintenance costs on
equipment purchased with MS Australia funds and institutional maintenance charges.

https://www.msaustralia.org.au/wp-content/uploads/eligibility-criteria_msaustralia_v5_feb_2026.pdf",,No applications with costing in Pure,10-Apr,,,,,,,,,,,,,,,,
Category 3,Australian not-for profit organisations,"Multiple Sclerosis Research Australia (trading as National Multiple Sclerosis Research Foundation Limited)
",Postgraduate Scholarships,scholarship stipend,Refer to column E,Not specified in guidelines,"The institution remains responsible for normal overhead expenses including maintenance costs on
equipment purchased with MS Australia funds and institutional maintenance charges.

https://www.msaustralia.org.au/wp-content/uploads/eligibility-criteria_msaustralia_v5_feb_2026.pdf",,"The institution remains responsible for normal overhead expenses including maintenance costs on
equipment purchased with MS Australia funds and institutional maintenance charges.

https://www.msaustralia.org.au/wp-content/uploads/eligibility-criteria_msaustralia_v5_feb_2026.pdf",,No applications with costing in Pure,10-Apr,,,,,,,,,,,,,,,,
Category 3,International not-for profit organisations,Brain & Behavior Research Foundation,"Young Investigator Grant
","	Allowable as stipend or salary support for the applicant (advanced postdoctoral fellow, instructor, or assistant professor).
Only one PI per application.","Allowable for stipends, salaries, and other personnel costs in service of the research project. The Foundation allows considerable flexibility in the use of funds. ","The Foundation allows considerable flexibility in the use of funds: equipment, stipends, etc., are all acceptable as long as the support is in the service of the BBRF Young Investigator Grant research project.",The Foundation does not pay institutional overhead on the BBRF Young Investigator Grant Program.,,"The Foundation does not pay institutional overhead on the BBRF Young Investigator Grant Program.

https://bbrfoundation.org/sites/default/files/pdfs/2026-bbrf-young-investigator-grant-application-guidelines.pdf",,0%,10-Apr,,,,,,,,,,,,,,,,
Category 3,International for-profit organisations/Australian philanthropy,Google (United States of America),Research Scholar Program/Award for inclusion,"unrestricted gift

https://services.google.com/fh/files/misc/googleresearchscholarprogram2025.pdf",unrestricted gift,unrestricted gift,not intended for overhead or indirect costs,,not intended for overhead or indirect costs,,0%,13-Apr,,,,,,,,,,,,,,,,
Category 3,Australian not-for profit organisations,Hermon Slade Foundation,Project Grant,Not allowed - salaries for research scientists and stipends for students are to be from other sources,"Allowable for technicians and research assistants (salaries may be supported).
Not allowable for scientific research staff (PIs, postdocs, etc.) or student stipends. 

https://www.hermonslade.org.au/apply/","The components of the project budget for which funds are sought from the Foundation must be justified — both travel and equipment for which funding is sought must be essential for this project.

https://www.hermonslade.org.au/apply/","The Foundation does not fund costs associated with attendance at conferences, either domestic or international. Publication costs levied by scientific journals are not supported by the Foundation.

https://hermonslade.smartygrants.com.au/",,"Administrative costs are not funded
https://www.hermonslade.org.au/apply/",,0%,10-Apr,,,,,,,,,,,,,,,,
Category 3,Australian for-profit organisations,Bristol-Myers Squibb (Australia),Corporate Giving (LOR - Letter of Request),Not allowable. Funding is not provided to individuals or physician groups. Prescriber salaries and general operational expenses unrelated to the proposed activity are ineligible.,"	Limited – honoraria for speakers/faculty may be allowed (as per budget template). Salaries for healthcare providers or administrative staff are generally not funded.","Per Budget Template categories are management fees, content development, direct program expenses, honoraria, meals/travel expenses

Budget Template link her`e - there is further guidance on each guideline on the ""Budget Guideline"" Tab: https://www.bms.com/assets/bms/us/english-documents/budget-template.xlsx","Entertainment, parties, lavish meals, childcare, and recreational activities
Prescriber salaries; and operational expenses that are unrelated to the proposed activity

https://www.bms.com/about-us/responsibility/corporate-giving/corporate-giving-faqs.html",,Administrative fees and overhead may be considered on a case-by-case basis,,0%,10-Apr,,,,,,,,,,,,,,,,
Category 3,Australian not-for profit organisations,Epworth Foundation (trading as Epworth HealthCare),Research Grants,Not specified in guidelines,Laboratory support,"Compulsory services/Costs: 
Research and Governance Office - Review ($650), Site Ongoing research
governance annual administration ($300), HREC Review Fees – Initial and subsequent reviews

Non-compulsory (suggested)

Statistical advice and support, Laboratory resources, Publications 

Refer to applicant guidelines on page 3 for further information: 

https://www.epworth.org.au/-/media/project/epworth/epworthweb/documents/grants-hub/emf-research-grants_2024_application-guidelinesv2.pdf",Not specified in guidelines,,Not specified in guidelines,,0%,guidelines restricted,,,,,,,,,,,,,,,,
Category 3,Australian for-profit organisations,Epworth Foundation (trading as Epworth HealthCare),Innovation Grant,Not specified in guidelines,labour costs of Epworth staff,"All budget items that directly relates to the project development and implementation including fees of thirdparty providers of goods and services, travel to centres of excellence or labour costs of Epworth staff can be included.

 https://www.epworth.org.au/-/media/project/epworth/epworthweb/documents/emf/grants/2024-application-guidelines---innovation-grantsv2.pdf",Funds cannot be used for any costs that relate to commercialisation of results or developed assets. ,,Not specified in guidelines,,0%,guidelines restricted,,,,,,,,,,,,,,,,
Category 3,Australian not-for profit organisations,Ovarian Cancer Research Foundation (OCRF),All research grant schemes,"Allowable.
Research proposals may include salaries of research personnel directly or proportionately involved in the project that are not otherwise funded. This includes mid‑ and senior‑level researchers, research assistants, research officers, research nurses, postdoctoral fellows, PhD students, and specialist personnel (e.g., bioinformaticians).","Allowable for the above roles.
Salary requests must include:
• Base salary or wage
• FTE fraction allocated to the OCRF‑funded project
• On‑costs up to 25% (applied by the Administering Institution’s model)
• Any other salary‑related expenditure required for participation

Refer to guidelines for further information: 
https://evenicoocrf2019.blob.core.windows.net/assets/nova/OCRF-Research-Grant-Guidelines-2025.pdf","Allowable direct costs include:
• Minor equipment (fully itemised and justified)
• Consumables (aggregate for items ≤$2,000; itemised for items >$2,000)
• Services (sequencing, mass spectrometry, flow cytometry, imaging, animal facility charges, bioinformatics, core facility services)","Explicitly not funded:
• Indirect institutional overhead costs (often called the ‘cost of research’ or ‘research levies’) unless discussed with the OCRF Research Director well in advance.",,No – grant funds cannot be used for indirect institutional overhead costs unless prior approval is obtained.,,0%,31-Mar,,,,,,,,,,,,,,,,
Category 3,"International philanthropy/International not-for profit organisations
",Spencer Foundation,Small Research Grants Program,Allowable (see Personnel Costs). PI and Co‑PIs must hold an earned doctorate.,"Salaries (PI, Co‑PI, Postdoctoral Research Assistant, Graduate Student, Researcher, Undergraduate Researcher, Other Research Staff, Other Staff, Supplemental PI/Co‑PI Course Release); Benefits (including Supplemental Course Release Benefits).

https://www.spencer.org/grant_types/small-research-grant.pdf","Other Collaborator (Independent Consultant, Advisor); Travel (Project Travel, Conference or Dissemination Travel); Equipment and Software; Project Expenses (Supplies, Participant Stipends/Costs, Communication, Transcription); Subcontracts; Other (expenses not covered above).

Refer to guidelines link for further information:

https://www.spencer.org/grant_types/small-research-grant.pdf",may not include indirect costs,,may not include indirect costs,,0%,31-Mar,,,,,,,,,,,,,,,,
Category 3,International philanthropy,Spencer Foundation,Large Research Grants on Education Program,"Allowable.
Salaries for PI, Co‑PI, Postdoctoral Research Assistant, Graduate Student, Researcher, Undergraduate Researcher, Other Research Staff, Other Staff are eligible.
PI and Co‑PIs must hold an earned doctorate. Graduate students may be part of the team but cannot be named PI/Co‑PI.","Allowable for the above roles, plus benefits (PI Benefits, Co‑PI Benefits, Researcher Benefits, Other Staff Benefits, Tuition/Fees).
https://www.spencer.org/grant_types/large-research-grant.pdf","Allowable direct costs include:
• Other Collaborator (Independent Consultant, Advisor)
• Travel (Project Travel, Conference or Dissemination Travel)
• Equipment and Software
• Project Expenses (Supplies, Participant Stipends/Costs, Communication, Transcription)
• Subcontracts
• Other (expenses not covered in the above categories)
https://www.spencer.org/grant_types/large-research-grant.pdf","	Not explicitly listed in the guidelines, but the following are not eligible:
• Activities other than academic research (e.g., program evaluations, professional development, curriculum development, scholarships, capital projects, tech platform development, AI tool development)
• Research studies focused on areas other than education",,"	Yes, capped at 15%.
“Budgets in this program may include 15 percent IDC (aka overhead). Subcontract budgets may also include the 15 percent IDC but should not be included in the main budget total when calculating the overall IDC for the project.” ","	15% of direct costs (excluding subcontracts? The IDC is applied to the main budget direct costs, not including subaward IDC)",15%,31-Mar,,,,,,,,,,,,,,,,
Category 2,Commonwealth (other),National Foundation for Australia-China Relations,"National Foundation for Australia-China Relations
2023-24 Grants Program ","Not allowable for ongoing salaries. Labour costs of Australian employees directly employed to deliver the grant project are allowable, but not ongoing salaries (i.e., salaries that would be paid regardless of the grant). ","Allowable for:
• Labour costs of Australian employees directly employed to deliver the core elements of the grant project (but not ongoing salaries).","Allowable direct costs include:
• Reasonable air, land, or sea travel costs and accommodation (e.g., economy international flights, 3‑ or 4‑star accommodation)
• Interpretation and translation
• Communications, advertising, promotion, graphic design, photography
• Publications and printed material
• Production costs (freight, artists’ fees)
• Research (but not as the core element of the project)
• Other activities determined as eligible by the Program Delegate","Explicitly not funded:
• Capital expenditure (purchase of real estate, vehicles)
• Purchase of equipment (technical equipment, musical instruments, computers, videos)
• Retrospective costs or recurrent funding of activities
• Activities already commercially viable
• Activities providing direct commercial advantage to the applicant
• Costs incurred in preparing the grant application
• Subsidy of general ongoing administration (electricity, phone, rent, honorariums, administrative charges)
• Study tours where travel by a significant number of students is the principal element
• Completed projects",,Unallowable- see column H,,0%,31-Mar,,,,,,,,,,,,,,,,
Category 3,International not-for profit organisations,National Geographic Society,All Grants (Level I and Level II),"Compensation (payment for time) is allowed only for:
• Non‑salaried individuals
• Freelancers
• Individuals employed less than full‑time
• Those required to fundraise for their salaries for specific projects
• K‑12 teachers on a normal 9‑ or 10‑month teaching contract (even if paid over 12 months)
• Individuals carrying out the project outside their salaried position responsibilities may request a stipend
• Not eligible: applicants employed in a nine‑month full‑time university academic position (considered full‑time)","Allowable for team members (applicant, collaborators, local collaborators, assistants, consultants) as per compensation rules above. Freelance storytellers should build their day rate into the budget (publishing partners take rights fee‑free). 

https://nationalgeographic.my.salesforce.com/sfc/p/#Hr000008MhdD/a/Hr0000015FTp/R9PxwMdNGTgQ7_JUViGNZRGcwP20e0WJBV6NJolED.w","Allowable direct costs include:
• Travel, lodging, food (for applicant and team members)
• Lab or studio‑based work (equipment and supplies)
• Safety‑related costs (COVID‑19 tests, PPE, cleaning supplies, medical insurance, travel insurance, medication)
• Monitoring & evaluation activities (theory of change, evaluation design, data collection, survey incentives, IACUC/IRB certification, permits, consultant fees)
• Dependent care assistance (caregiving for a minor or adult dependent; can cover at‑home or on‑site care)

https://www.australiachinafoundation.org.au/sites/default/files/2025-05/NFACR%2025-26%20Grant%20Guidelines.pdf","Does not provide funding for scholarships, tuition, study abroad programs, school living expenses or internships.",,"Yes, capped at 15% of total budget.
“Applicants may designate up to 15% of the total budget as overhead or indirect costs … to cover day‑to‑day operational fees.” Total requested funds (including overhead) must not exceed the grant cap (USD $20,000 for Level I; USD $100,000 for Level II).",15% (of total budget),"Up to 15% (e.g., for Level I: up to USD $3,000; for Level II: up to USD $15,000)",31-Mar,,,,,,,,,,,,,,,,
Category 3,"Australian not-for profit organisations/Australian for-profit organisations
",Cabrini Health,Research Grants,"Not allowable for Principal Investigators (PIs) or Associate Investigators (AIs).
Project‑specific staffing (e.g., Research Assistants, administrative support engaged specifically for the project) is allowable.","Allowable for:
• Research Assistants, project‑specific administrative support
• Salaries and on‑costs must be itemised with correct rates:
– Cabrini employees: 28.1% on‑costs
– Fixed‑term or ongoing Monash employees: 42.2% on‑costs
– Casual staff: additional 25% on top of loaded rate","Allowable direct costs include:
• Travel for data collection across multiple sites
• Patient resources essential to the project
• Software development and/or subscription fees
• Organisational data access (e.g., business intelligence, clinical governance)
• Expert advice (e.g., Cabrini biostatistician at $120/hour)
• Economic evaluations, pathology, imaging, pharmacy, data transcription
• Journal publication fees (up to $5,000; free journals encouraged)
• Conference registration and travel – international up to $5,000, domestic up to $2,000 (economy class only)
• Consumer remuneration (recommended; refer to Safer Care Victoria rates)
• Catering (lunch ≤$20/person, tea ≤$15/person, dinner ≤$30/person) if essential

https://www.cabrini.com.au/wp-content/uploads/2026-27-Cabrini-Foundation-Research-Grant-Application-Guidelines.pdf","Explicitly not funded:
• Equipment or infrastructure not unique to the project or essential for delivery
• Operational costs
• Alcohol
• Salary costs for Principal Investigators (PIs) and Associate Investigators (AIs)","Not specified / Not required. However, all stakeholder contributions (monetary or in‑kind) must be included in the budget. Cabrini Research does not provide administrative support (e.g., medical records access, catering).","No.
Cabrini Research does not cover indirect costs; the applicant must include all stakeholder contributions in the budget, and Cabrini is not responsible for administrative support or resourcing. ",,0%,31-Mar,,,,,,,,,,,,,,,,
Category 3,Australian philanthropy,Cure Cancer Australia,Early Career Research Grants,"Allowable.
“Funding may be used for costs directly related to the proposed project, such as salaries of personnel …” This includes the Chief Investigator’s salary. ","Allowable for salaries of personnel (research staff, the applicant) directly related to the project. ","costs directly related to the proposed project, such as salaries of personnel, scientific services, and laboratory consumables.

https://curecancer.funraisin.com.au/getasset/HNVCRA",Not specified in guidelines,,Not specified in guidelines,,No applications with costing in Pure,31-Mar,,,,,,,,,,,,,,,,
Category 1 – Australian Competitive Grants (or Category 2 – Commonwealth own purpose; the program is administered by the Department of Education),Australia’s Economic Accelerator (AEA) – Ignite,Department of Education,AEA Ignite,"Salaries and on‑costs for personnel directly employed for the project (including the Lead Entrepreneur) are eligible. A 30% allowance may be added to cover employer on‑costs such as superannuation, payroll tax, workers compensation, and overheads like office rent and computers.","Allowable for:
• Salaries of Lead Entrepreneur, Collaborating Entrepreneurs, and other project staff (pro‑rata based on time commitment)
• Backfilling (teaching relief) costs for academic staff assigned to the project
• 30% on‑costs allowance as above","	Allowable direct costs include:
• Expert services (business development, design, regulatory advice, access to specialist equipment, manufacturing facilities)
• Travel essential to the project (economy class, accommodation)
• Verifiable plant and equipment costs (proportional to project use)
• Staff development and training supporting project outcomes

https://www.aea.gov.au/download/860/aea-ignite-program-guidelines-2026/419/aea-ignite-program-guidelines-2026/pdf","• Basic research (TRL 1–2)
• Activities unaligned with government priority areas
• Capital works and general infrastructure costs

https://www.aea.gov.au/download/860/aea-ignite-program-guidelines-2026/419/aea-ignite-program-guidelines-2026/pdf","Not required, but a minimum of 10% of the total grant funding requested must be provided as cash and/or in‑kind contributions from the combined participating organisations.",No,N/A,0%,24-Mar,,,,,,,,,,,,,,,,
Category 1 – Australian Competitive Grants (or Category 2 – Commonwealth own purpose; administered by the Department of Education),Australia’s Economic Accelerator (AEA) – Innovate,Department of Education,AEA Innovate,"	Allowable.
Salaries and on‑costs for personnel directly employed for the project (including the Lead Entrepreneur) are eligible. A 30% allowance may be added to cover employer on‑costs (superannuation, payroll tax, workers compensation) and overheads such as office rent and computers.","Allowable for:
• Salaries of Lead Entrepreneur, Collaborating Entrepreneurs, and other project staff (pro‑rata based on time commitment)
• 30% on‑costs allowance as above","• Expert services (design, regulatory advice, access to specialist equipment)
• Travel essential to the project (economy class, accommodation) – overseas expenditure limited to 10% unless approved

https://www.aea.gov.au/download/798/aea-innovate-program-administrative-guidelines-2025/334/program-administrative-guidelines-2025-aea-innovate/pdf","Explicitly not funded:
• Basic research (TRL 1–4)
• Activities unaligned with government priority areas
• Capital works and general infrastructure costs
• Conference attendance
• Costs not directly related to the project (visas, relocation, insurance, mobile phones, other indirect costs)
• Retrospective costs or PhD student assistance beyond 24 months",Required: The Lead Organisation and participating organisations must collectively commit a minimum contribution of at least 50% of the total budget (in cash and/or in‑kind). This is matched by the grant (which covers the other 50%).,No,,0%,24-Mar,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
